Team,Repository,Role
cw-python,onlinesales-ai/osFileStreamProcessorApp,write
cw-python,onlinesales-ai/osSvcClient4pyV2,write
cw-python,onlinesales-ai/revxScripts,write
cw-qa,onlinesales-ai/flexi-packages-ui-automation-qa,write
cw-qa,onlinesales-ai/marketing-api-qa,read
cw-qa,onlinesales-ai/marketingService,read
cw-qa,onlinesales-ai/osmos-ui-qa,read
dev,onlinesales-ai/adserver-deployment-monitoring,read
dev,onlinesales-ai/android-osmos-sdk-source,read
dev,onlinesales-ai/ArgoCD-Prod,read
dev,onlinesales-ai/ArgoCD-Stage,read
dev,onlinesales-ai/asyncJobsService,read
dev,onlinesales-ai/athenaJobsV5,read
dev,onlinesales-ai/brandAdServerV2,read
dev,onlinesales-ai/campaignUserActionConsumer,read
dev,onlinesales-ai/catalogSyncService,read
dev,onlinesales-ai/claude-utility,read
dev,onlinesales-ai/devOpsTools,write
dev,onlinesales-ai/flairminds,write
dev,onlinesales-ai/GCP-PAM-Entitlement,read
dev,onlinesales-ai/hackathon-media-planner-agent,read
dev,onlinesales-ai/hackathon-media-planner-socketCommunicatorService,read
dev,onlinesales-ai/ios-osmos-sdk-source,read
dev,onlinesales-ai/jobWrapper,write
dev,onlinesales-ai/lmsCrmSyncApp,admin
dev,onlinesales-ai/lmsNodeEventManagerConsumer,read
dev,onlinesales-ai/marketplaceBillingService,read
dev,onlinesales-ai/onboardingScripts,read
dev,onlinesales-ai/os-2c2p-client,write
dev,onlinesales-ai/os-adserver-util,write
dev,onlinesales-ai/os-async-jobs-shared,write
dev,onlinesales-ai/os-aws-client,write
dev,onlinesales-ai/os-aws-client-v2,write
dev,onlinesales-ai/os-bullmq-client,write
dev,onlinesales-ai/os-campaign-cloner-shared,write
dev,onlinesales-ai/os-campaign-update-shared,write
dev,onlinesales-ai/os-clevertap-client,write
dev,onlinesales-ai/os-common-middlewares,write
dev,onlinesales-ai/os-encryption-util,write
dev,onlinesales-ai/os-finance-payment-lib,write
dev,onlinesales-ai/os-gbm-client,write
dev,onlinesales-ai/os-gcp-client,write
dev,onlinesales-ai/os-glowroad-client,write
dev,onlinesales-ai/os-hotstar-client,write
dev,onlinesales-ai/os-ifttt-shared,write
dev,onlinesales-ai/os-kafka-client,write
dev,onlinesales-ai/os-konga-client,write
dev,onlinesales-ai/os-moloco-client,write
dev,onlinesales-ai/os-novu-client,write
dev,onlinesales-ai/os-osmos-oauth,write
dev,onlinesales-ai/os-payu-client,write
dev,onlinesales-ai/os-pyutils,read
dev,onlinesales-ai/os-razorpay-client,write
dev,onlinesales-ai/os-snapdealcod-client,write
dev,onlinesales-ai/os-svc-client,write
dev,onlinesales-ai/os-zoho-books-client,write
dev,onlinesales-ai/os-zoho-desk-client,write
dev,onlinesales-ai/osAdsAudienceRedisPusherApp,read
dev,onlinesales-ai/osFileStreamProcessorApp,read
dev,onlinesales-ai/osmos-claude-plugins,write
dev,onlinesales-ai/osmos-iframe-sdk,write
dev,onlinesales-ai/osmos-workflows,read
dev,onlinesales-ai/osSvcClient4pyV2,write
dev,onlinesales-ai/plaAdServer,read
dev,onlinesales-ai/pubsub-data-connector,read
dev,onlinesales-ai/revXAdServerNodeV2,read
dev,onlinesales-ai/tech-doc-template,write
dev-external-contractors,onlinesales-ai/brandAdServerV2,write
dev-external-contractors,onlinesales-ai/brandAdsUIService,write
dev-external-contractors,onlinesales-ai/catalogSyncService,read
dev-external-contractors,onlinesales-ai/creativeUploadService,write
dev-external-contractors,onlinesales-ai/localium-catalog-svc,write
dev-external-contractors,onlinesales-ai/marketingService,write
dev-external-contractors,onlinesales-ai/os-common-middlewares,write
dev-external-contractors,onlinesales-ai/os-gcp-client,read
dev-external-contractors,onlinesales-ai/os-moloco-client,read
dev-external-contractors,onlinesales-ai/os-pyutils,write
dev-external-contractors,onlinesales-ai/os-svc-client,write
dev-external-contractors,onlinesales-ai/osmos-api-qa,write
dev-external-contractors,onlinesales-ai/osmos-display-adserver-api-qa,write
dev-external-contractors,onlinesales-ai/osSvcClient4pyV2,write
dev-external-contractors,onlinesales-ai/publisher-svc,write
dev-external-contractors,onlinesales-ai/reportService,write
dev-external-contractors,onlinesales-ai/revXAdServerNodeV2,write
dev-external-contractors,onlinesales-ai/trackm,write
flairminds,onlinesales-ai/devOpsTools,write
flairminds,onlinesales-ai/engageService,read
flairminds,onlinesales-ai/flairminds,admin
flairminds,onlinesales-ai/gitops,write
flairminds,onlinesales-ai/kuberService,read
flairminds,onlinesales-ai/offerService,read
frigga-cloud,onlinesales-ai/addToWorkloadIdentity,admin
frigga-cloud,onlinesales-ai/adServer-frigga,maintain
frigga-cloud,onlinesales-ai/adserver-setup-terraform,admin
frigga-cloud,onlinesales-ai/ArgoCD-Adserver,admin
frigga-cloud,onlinesales-ai/argocd-management-cluster,admin
frigga-cloud,onlinesales-ai/ArgoCD-Prod,write
frigga-cloud,onlinesales-ai/ArgoCD-Stage,admin
frigga-cloud,onlinesales-ai/argocd-terraform,admin
frigga-cloud,onlinesales-ai/argocd-test-frigga,admin
frigga-cloud,onlinesales-ai/asyncJobsService,write
frigga-cloud,onlinesales-ai/athenaJobsV4BQ,write
frigga-cloud,onlinesales-ai/athenaJobsV5,write
frigga-cloud,onlinesales-ai/auditService,write
frigga-cloud,onlinesales-ai/authentication4node,write
frigga-cloud,onlinesales-ai/brandAdServerV2,write
frigga-cloud,onlinesales-ai/brandAdServerV2-frigga,admin
frigga-cloud,onlinesales-ai/brandAdsUIService,write
frigga-cloud,onlinesales-ai/budgetEngine,write
frigga-cloud,onlinesales-ai/butlerService,write
frigga-cloud,onlinesales-ai/cacheLib,admin
frigga-cloud,onlinesales-ai/cacheLib_frigga,admin
frigga-cloud,onlinesales-ai/catalogSyncService,write
frigga-cloud,onlinesales-ai/craftService,write
