Repository,Visibility,BranchCount,DefaultBranch,PrimaryLanguage,SizeKB,Created,LastUpdated,Description,HTTPS_URL,SSH_URL,TeamAccess
"onlinesales-ai/os-client-tracker","private","1","master","JavaScript","111","2020-04-18T06:03:09Z","2021-06-16T14:01:34Z","OnlineSales Client Tracker","https://github.com/onlinesales-ai/os-client-tracker","git@github.com:onlinesales-ai/os-client-tracker.git","osmos-rms(read); osmos-rms-admin(admin); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/cis-ui","private","1","master","JavaScript","1346","2020-08-09T12:34:46Z","2020-08-09T13:32:59Z","Client Input Service UI","https://github.com/onlinesales-ai/cis-ui","git@github.com:onlinesales-ai/cis-ui.git","osmos-rms(read); osmos-rms-admin(admin); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/uploader-ui","private","1","master","CSS","618","2020-08-09T13:04:35Z","2020-08-09T13:33:24Z","Uploader Service UI","https://github.com/onlinesales-ai/uploader-ui","git@github.com:onlinesales-ai/uploader-ui.git","osmos-rms(read); osmos-rms-admin(admin); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/documentation","private","1","master","JavaScript","50","2020-08-09T13:30:51Z","2020-08-09T13:32:00Z","OnlineSales.ai Documentation","https://github.com/onlinesales-ai/documentation","git@github.com:onlinesales-ai/documentation.git","osmos-rms(read); osmos-rms-admin(admin); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/acquire-ui","private","1","master","JavaScript","32787","2020-09-10T09:02:55Z","2025-07-21T05:26:11Z","Brewmeister Acquire UI","https://github.com/onlinesales-ai/acquire-ui","git@github.com:onlinesales-ai/acquire-ui.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/shared-ui","private","1","master-v2","JavaScript","314807","2020-09-11T09:35:27Z","2026-02-24T04:45:04Z","","https://github.com/onlinesales-ai/shared-ui","git@github.com:onlinesales-ai/shared-ui.git","osmos-ui-external-contractors(read); osmos-ui-external-contractors-write(write); ui(read); ui-admin(admin); ui-team-be-members(write); ui-write(write)"
"onlinesales-ai/ad-sim","private","1","main","N/A","496","2020-10-19T16:44:16Z","2025-07-21T05:26:55Z","","https://github.com/onlinesales-ai/ad-sim","git@github.com:onlinesales-ai/ad-sim.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/ui-app-boilerplate","private","1","main","JavaScript","50","2020-11-02T12:04:02Z","2025-07-21T05:31:18Z","","https://github.com/onlinesales-ai/ui-app-boilerplate","git@github.com:onlinesales-ai/ui-app-boilerplate.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/smm-ui","private","1","master","JavaScript","1007","2020-11-03T10:51:33Z","2025-07-21T05:29:58Z","","https://github.com/onlinesales-ai/smm-ui","git@github.com:onlinesales-ai/smm-ui.git","ui(read); ui-admin(maintain); ui-write(write)"
"onlinesales-ai/chrome-extension-icon-changer","private","1","main","JavaScript","35","2020-11-07T09:37:52Z","2025-07-21T05:27:51Z","","https://github.com/onlinesales-ai/chrome-extension-icon-changer","git@github.com:onlinesales-ai/chrome-extension-icon-changer.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/admin-ui","private","1","master-v2","JavaScript","18138","2020-11-09T10:17:18Z","2026-02-23T15:58:24Z","","https://github.com/onlinesales-ai/admin-ui","git@github.com:onlinesales-ai/admin-ui.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/bulk-actions","private","1","main","N/A","1","2020-11-11T12:17:18Z","2025-07-21T05:27:35Z","","https://github.com/onlinesales-ai/bulk-actions","git@github.com:onlinesales-ai/bulk-actions.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/brandads-ui","private","1","master","JavaScript","719","2020-12-22T07:55:51Z","2025-07-21T05:27:13Z","","https://github.com/onlinesales-ai/brandads-ui","git@github.com:onlinesales-ai/brandads-ui.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/ui-tools","private","1","main","JavaScript","233","2021-04-14T11:01:08Z","2025-09-03T06:43:36Z","","https://github.com/onlinesales-ai/ui-tools","git@github.com:onlinesales-ai/ui-tools.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/maverick-ui","private","1","master","JavaScript","35881","2021-08-19T05:56:37Z","2026-02-24T04:38:39Z","","https://github.com/onlinesales-ai/maverick-ui","git@github.com:onlinesales-ai/maverick-ui.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/hyperlocal-shared-ui","private","1","master","JavaScript","24071","2022-07-14T09:04:30Z","2026-02-16T13:00:39Z","","https://github.com/onlinesales-ai/hyperlocal-shared-ui","git@github.com:onlinesales-ai/hyperlocal-shared-ui.git","osmos-ui-external-contractors(read); osmos-ui-external-contractors-write(write); ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/hyperlocal-maverick-ui","private","1","master","JavaScript","42060","2022-07-14T11:16:32Z","2026-02-19T10:06:02Z","","https://github.com/onlinesales-ai/hyperlocal-maverick-ui","git@github.com:onlinesales-ai/hyperlocal-maverick-ui.git","osmos-ui-external-contractors(read); osmos-ui-external-contractors-write(write); ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/hyperlocal-admin-ui","private","1","master","JavaScript","5269","2022-07-15T09:27:46Z","2025-07-21T11:52:40Z","","https://github.com/onlinesales-ai/hyperlocal-admin-ui","git@github.com:onlinesales-ai/hyperlocal-admin-ui.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/ad-server-test","private","1","main","N/A","0","2022-07-28T10:40:14Z","2022-07-28T10:40:14Z","","https://github.com/onlinesales-ai/ad-server-test","git@github.com:onlinesales-ai/ad-server-test.git","osmos-media(read); osmos-media-admin(admin); osmos-media-write(write)"
"onlinesales-ai/captain-js","private","1","master","JavaScript","4452","2022-09-16T06:50:05Z","2026-02-11T14:10:37Z","","https://github.com/onlinesales-ai/captain-js","git@github.com:onlinesales-ai/captain-js.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/developers-ui","private","1","master","JavaScript","574","2022-10-13T06:37:23Z","2026-01-27T09:40:13Z","","https://github.com/onlinesales-ai/developers-ui","git@github.com:onlinesales-ai/developers-ui.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/placement-automation","private","1","master","JavaScript","36","2023-01-11T11:30:13Z","2025-07-31T05:50:59Z","","https://github.com/onlinesales-ai/placement-automation","git@github.com:onlinesales-ai/placement-automation.git","osmos-client-delight(read); osmos-client-delight-admin(read); osmos-client-delight-write(write); ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/ott-ui","private","1","master","JavaScript","7689","2023-02-24T10:56:06Z","2026-01-23T07:01:46Z","","https://github.com/onlinesales-ai/ott-ui","git@github.com:onlinesales-ai/ott-ui.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/labs","private","1","master","JavaScript","5","2023-06-20T10:28:41Z","2023-09-06T11:04:05Z","repository for experimental dev stuff","https://github.com/onlinesales-ai/labs","git@github.com:onlinesales-ai/labs.git","hyperlocal(read); hyperlocal-admin(admin); hyperlocal-write(write)"
"onlinesales-ai/ds-search-relevancy-repo","private","1","main","Python","364","2023-07-26T07:59:05Z","2025-08-26T06:01:30Z","ds-search-relevancy-repo","https://github.com/onlinesales-ai/ds-search-relevancy-repo","git@github.com:onlinesales-ai/ds-search-relevancy-repo.git","osmos-performance(read); osmos-performance-admin(admin); osmos-performance-write(write)"
"onlinesales-ai/test-backend","private","1","main","N/A","1","2023-08-02T10:20:22Z","2023-08-02T10:20:22Z","test-backend","https://github.com/onlinesales-ai/test-backend","git@github.com:onlinesales-ai/test-backend.git","osmos-media(read); osmos-media-admin(admin); osmos-media-write(write)"
"onlinesales-ai/marketingService","private","1","release_2.0","JavaScript","1550","2023-08-02T13:56:35Z","2026-02-20T08:48:51Z","","https://github.com/onlinesales-ai/marketingService","git@github.com:onlinesales-ai/marketingService.git","cw-qa(read); dev-external-contractors(write); frigga-cloud(write); osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-media(read); osmos-media-admin(admin); osmos-media-write(write); osmos-rms(read); osmos-rms-admin(admin); osmos-rms-interns(write); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/ds-sku-sku-relevancy-v3","private","1","lohit/s2s_recom","Python","13","2023-08-10T10:13:09Z","2023-09-22T09:26:37Z","Enhancing Sku to Sku relevancy algo to improve coverage.","https://github.com/onlinesales-ai/ds-sku-sku-relevancy-v3","git@github.com:onlinesales-ai/ds-sku-sku-relevancy-v3.git","osmos-performance(read); osmos-performance-admin(admin); osmos-performance-write(write)"
"onlinesales-ai/marketingServiceConsumer","private","1","main","N/A","0","2023-08-18T12:56:39Z","2023-08-18T12:56:39Z","","https://github.com/onlinesales-ai/marketingServiceConsumer","git@github.com:onlinesales-ai/marketingServiceConsumer.git","osmos-media(read); osmos-media-admin(admin); osmos-media-write(write)"
"onlinesales-ai/suchiService","private","1","main","JavaScript","720","2023-09-05T12:17:38Z","2024-06-12T14:56:54Z","Hyperlocal feed processor with features like draft previews; ad triggers; bulk updates; and SKU-level rule creation for individual and multi-seller management.","https://github.com/onlinesales-ai/suchiService","git@github.com:onlinesales-ai/suchiService.git","hyperlocal(read); hyperlocal-admin(admin); hyperlocal-write(write)"
"onlinesales-ai/reportService","private","1","release_1.0","JavaScript","580","2023-09-13T12:20:19Z","2026-02-20T05:23:05Z","","https://github.com/onlinesales-ai/reportService","git@github.com:onlinesales-ai/reportService.git","dev-external-contractors(write); frigga-cloud(write); osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-media(read); osmos-media-admin(admin); osmos-media-write(write); osmos-rms(read); osmos-rms-admin(admin); osmos-rms-interns(write); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/ds-sku-sku-relevancy-training","private","1","main","Python","72","2023-10-10T10:26:12Z","2024-12-16T12:37:30Z","ds-sku-sku-relevancy-training","https://github.com/onlinesales-ai/ds-sku-sku-relevancy-training","git@github.com:onlinesales-ai/ds-sku-sku-relevancy-training.git","osmos-performance(write); osmos-performance-admin(admin); osmos-performance-write(write)"
"onlinesales-ai/ds-sku-sku-relevancy-prediction","private","1","main","Python","26","2023-10-16T17:42:33Z","2023-11-23T12:51:52Z","ds-sku-sku-relevancy-prediction","https://github.com/onlinesales-ai/ds-sku-sku-relevancy-prediction","git@github.com:onlinesales-ai/ds-sku-sku-relevancy-prediction.git","osmos-performance(write); osmos-performance-admin(admin); osmos-performance-write(write)"
"onlinesales-ai/os-cms","private","1","main","JavaScript","1071","2023-10-21T05:50:31Z","2025-07-21T05:28:32Z","OS CMS Powered by Strapi","https://github.com/onlinesales-ai/os-cms","git@github.com:onlinesales-ai/os-cms.git","osmos-rms(read); osmos-rms-admin(admin); osmos-rms-ui-write(read); osmos-rms-write(write); ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/financeService","private","1","release_1.0","JavaScript","1495","2023-10-25T12:55:25Z","2026-01-23T13:25:52Z","","https://github.com/onlinesales-ai/financeService","git@github.com:onlinesales-ai/financeService.git","frigga-cloud(write); osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-media(read); osmos-media-admin(read); osmos-media-write(read); osmos-offsite-admin(read); osmos-offsite-write(write); osmos-performance(read); osmos-performance-admin(read); osmos-performance-write(read); osmos-rms(read); osmos-rms-admin(admin); osmos-rms-interns(write); osmos-rms-ui-write(read); osmos-rms-write(write); osmso-offsite(read)"
"onlinesales-ai/hyperlocal-pulse-ui","private","1","master","JavaScript","14507","2024-01-31T12:07:57Z","2026-02-24T05:39:40Z","","https://github.com/onlinesales-ai/hyperlocal-pulse-ui","git@github.com:onlinesales-ai/hyperlocal-pulse-ui.git","osmos-ui-external-contractors(read); osmos-ui-external-contractors-write(write); ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/hyperlocal-shared-ui-v2","private","1","master","JavaScript","57486","2024-01-31T12:18:56Z","2026-02-24T05:41:47Z","","https://github.com/onlinesales-ai/hyperlocal-shared-ui-v2","git@github.com:onlinesales-ai/hyperlocal-shared-ui-v2.git","osmos-ui-external-contractors(read); osmos-ui-external-contractors-write(write); ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/kuberService","private","1","release_1.0","JavaScript","277","2024-02-13T19:06:06Z","2026-02-17T11:25:57Z","Wrapper Api Service for Finance.","https://github.com/onlinesales-ai/kuberService","git@github.com:onlinesales-ai/kuberService.git","flairminds(read); frigga-cloud(write); instore(read); instore-admin(read); instore-write(read); osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-media(read); osmos-media-admin(read); osmos-media-write(read); osmos-rms(read); osmos-rms-admin(admin); osmos-rms-interns(read); osmos-rms-ui-write(read); osmos-rms-write(write); retailium-write(write)"
"onlinesales-ai/os-ui-doc","private","1","main","CSS","7057","2024-02-20T07:17:08Z","2025-07-21T05:28:58Z","Onlinesales UI Documentation","https://github.com/onlinesales-ai/os-ui-doc","git@github.com:onlinesales-ai/os-ui-doc.git","ui(read); ui-admin(admin); ui-write(write)"
